language,ISO_code,thisN,thisTrialN,thisRepN,instr_msg_EN,instr_pics,instr_msg_ES,instr_msg_FR,images_sizeW,images_sizeH,hljt_images,hljt_side,hljt_view,hljt_angle,hljt_direction,hljt_correct_both,hljt_correct_one,pract_hljt_response.keys,pract_hljt_response.corr,pract_hljt_response.rt,pract_hljt_response.duration,block_msg_EN,block_pause_msg_EN,block_msg_ES,block_pause_msg_ES,block_msg_FR,block_pause_msg_FR,test_hljt_response.keys,test_hljt_response.corr,test_hljt_response.rt,test_hljt_response.duration,language_loop.thisRepN,language_loop.thisTrialN,language_loop.thisN,language_loop.thisIndex,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,pract_block.thisRepN,pract_block.thisTrialN,pract_block.thisN,pract_block.thisIndex,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,test_block.thisRepN,test_block.thisTrialN,test_block.thisN,test_block.thisIndex,test_trial_loop.thisRepN,test_trial_loop.thisTrialN,test_trial_loop.thisN,test_trial_loop.thisIndex,thisRow.t,notes,language_code,start_time,Welcome.started,Welcome.stopped,ITI,pract_hljt_image.started,pract_hljt_response.started,pract_loop.pract_hljt_response.keys,pract_loop.pract_hljt_response.corr,pract_loop.pract_hljt_response.rt,pract_loop.pract_hljt_response.duration,block_welcome.started,block_welcome.stopped,test_trial.started,test_square.started,test_hljt_image.started,test_hljt_response.started,square_left_3.started,square_right_3.started,test_trial.stopped,test_trial_loop.test_hljt_response.keys,test_trial_loop.test_hljt_response.corr,test_trial_loop.test_hljt_response.rt,test_trial_loop.test_hljt_response.duration,test_feedback.started,test_feedback.stopped,block_pause.started,block_pause.stopped,end_time,completion_time,Goodbye.started,Goodbye.stopped,participant,session,language,response_mode,practice_block,n_angles,hand_views,n_reps,feedback,date,expName,psychopyVersion,frameRate,expStart,
English,FR,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,0.0748182999996061,,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Example,1,English,Both hands,Yes,4 (increments of 90º),Palmar and Dorsal,4,0.3,2025-07-02_10h24.34.345,HLJT_local,2024.2.1,59.66291645453965,2025-07-02 10h25.15.071038 +0200,
English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02028379999956087,0.06785279999985505,1.2766707000000679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Example,1,English,Both hands,Yes,4 (increments of 90º),Palmar and Dorsal,4,0.3,2025-07-02_10h24.34.345,HLJT_local,2024.2.1,59.66291645453965,2025-07-02 10h25.15.071038 +0200,
English,,0,0,0,"After each image, you will receive a short feedback on your response:

If you respond correctly, the corresponding box will turn green

If you respond incorrectly, the corresponding box will turn red

Remember that your goal is to respond as accurately and fast as possible",hljt_instr_images/instr_pic3.jpg,"Tras cada imagen, recibirás un feedback corto sobre tu respuesta:

Si respondes correctamente, la caja correspondiente se volverá verde

Si respondes incorrectamente, la caja correspondiente se volverá roja

Recuerda que tu objetivo es responder tan precisa y rápidamente como puedas","Après chaque image, vous recevrez un bref commentaire sur votre réponse :

Si vous répondez correctement, la case correspondante devient verte.

Si votre réponse est incorrecte, la case correspondante devient rouge.

N'oubliez pas que votre objectif est de répondre le plus précisément et le plus rapidement possible.
",0.6,0.5,hljt_images/left_dorsal.png,left,dorsal,180,down,s,g,l,0,0.7097462000001542,None,,,,,,,,,,,,,,,0,2,2,2,0,0,0,0,0,0,0,14,,,,,,,,,7.037927100000161,,,,,,0.7220957491743982,7.772977300000093,7.772977300000093,l,0,0.7097462000001542,None,,,,,,,,,,,,,,,,,,,,,,Example,1,English,Both hands,Yes,4 (increments of 90º),Palmar and Dorsal,4,0.3,2025-07-02_10h24.34.345,HLJT_local,2024.2.1,59.66291645453965,2025-07-02 10h25.15.071038 +0200,
English,,1,1,0,,,,,,,hljt_images/left_dorsal.png,left,dorsal,270,medial,s,g,s,1,0.4031205000001137,None,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,15,,,,,,,,,8.804698300000382,,,,,,0.7945621250345394,9.591201999999612,9.591201999999612,s,1,0.4031205000001137,None,,,,,,,,,,,,,,,,,,,,,,Example,1,English,Both hands,Yes,4 (increments of 90º),Palmar and Dorsal,4,0.3,2025-07-02_10h24.34.345,HLJT_local,2024.2.1,59.66291645453965,2025-07-02 10h25.15.071038 +0200,
English,,2,2,0,,,,,,,hljt_images/right_palmar.png,right,palmar,90,lateral,l,h,s,0,0.5649256000006062,None,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,1,,,,,,,,,10.321438400000261,,,,,,0.6892549968421943,11.037687899999582,11.037687899999582,s,0,0.5649256000006062,None,,,,,,,,,,,,,,,,,,,,,,Example,1,English,Both hands,Yes,4 (increments of 90º),Palmar and Dorsal,4,0.3,2025-07-02_10h24.34.345,HLJT_local,2024.2.1,59.66291645453965,2025-07-02 10h25.15.071038 +0200,
English,,3,3,0,,,,,,,hljt_images/left_palmar.png,left,palmar,180,down,s,g,l,0,0.63740609999968,None,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,10,,,,,,,,,11.904366400000072,,,,,,0.7787193008797678,12.694302900000366,12.694302900000366,l,0,0.63740609999968,None,,,,,,,,,,,,,,,,,,,,,,Example,1,English,Both hands,Yes,4 (increments of 90º),Palmar and Dorsal,4,0.3,2025-07-02_10h24.34.345,HLJT_local,2024.2.1,59.66291645453965,2025-07-02 10h25.15.071038 +0200,
English,,4,4,0,,,,,,,hljt_images/left_dorsal.png,left,dorsal,0,up,s,g,s,1,0.5845734000004086,None,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,12,,,,,,,,,13.654340600000069,,,,,,0.7035939397819237,14.362333500000204,14.362333500000204,s,1,0.5845734000004086,None,,,,,,,,,,,,,,,,,,,,,,Example,1,English,Both hands,Yes,4 (increments of 90º),Palmar and Dorsal,4,0.3,2025-07-02_10h24.34.345,HLJT_local,2024.2.1,59.66291645453965,2025-07-02 10h25.15.071038 +0200,
English,,5,5,0,,,,,,,hljt_images/right_palmar.png,right,palmar,270,medial,l,h,l,1,0.6959188999999242,None,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,3,,,,,,,,,15.271818999999596,,,,,,0.7398395783408032,16.01154630000019,16.01154630000019,l,1,0.6959188999999242,None,,,,,,,,,,,,,,,,,,,,,,Example,1,English,Both hands,Yes,4 (increments of 90º),Palmar and Dorsal,4,0.3,2025-07-02_10h24.34.345,HLJT_local,2024.2.1,59.66291645453965,2025-07-02 10h25.15.071038 +0200,
English,,6,6,0,,,,,,,hljt_images/left_palmar.png,left,palmar,0,up,s,g,s,1,0.6821714999996402,None,,,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,8,,,,,,,,,17.03807500000039,,,,,,0.9621678458908962,17.992543999999725,17.992543999999725,s,1,0.6821714999996402,None,,,,,,,,,,,,,,,,,,,,,,Example,1,English,Both hands,Yes,4 (increments of 90º),Palmar and Dorsal,4,0.3,2025-07-02_10h24.34.345,HLJT_local,2024.2.1,59.66291645453965,2025-07-02 10h25.15.071038 +0200,
English,,7,7,0,,,,,,,hljt_images/left_dorsal.png,left,dorsal,90,lateral,s,g,s,1,0.6484131999995952,None,,,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,13,,,,,,,,,19.005191600000217,,,,,,0.6933647689142071,19.698687199999767,19.698687199999767,s,1,0.6484131999995952,None,,,,,,,,,,,,,,,,,,,,,,Example,1,English,Both hands,Yes,4 (increments of 90º),Palmar and Dorsal,4,0.3,2025-07-02_10h24.34.345,HLJT_local,2024.2.1,59.66291645453965,2025-07-02 10h25.15.071038 +0200,
