"BOX_LEFT_X","BOX_RIGHT_X","BOX_SIZE","BOX_Y","SCREEN_H","SCREEN_W","STIM_TARGET","age_str","b1","background","black","block_message","block_number","block_size","btn_h","btn_w","btn_y","bx","can_continue","canvas_backend","clock_backend","color_backend","conditions_file","correct_col","correct_key_value","count_ITI","count_block_end","count_block_sequence","count_block_start","count_blocks_loop","count_bye","count_countdown","count_demographics","count_experiment","count_feedback","count_instructions","count_instructions_loop","count_language_select","count_logger","count_settings","count_setup","count_trial","count_trial_sequence","count_trials_loop","count_welcome","current_iti","description","disable_garbage_collection","elapsed","exp_dir","experiment_file","experiment_path","fb","feedback","feedback_time","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","gap","gender_sel","green","hand_sel","hand_views","header","height","high_prob_percentage","hljt_angle","hljt_correct_both","hljt_correct_one","hljt_direction","hljt_images","hljt_side","hljt_view","i","image_h","image_w","inst_msg","inst_pics","is_practice","iti_index","key","keyboard_backend","label","lang_code","language","language_code","last_correct","last_key","last_rt","left","live_row","live_row_blocks_loop","live_row_instructions_loop","live_row_trials_loop","logfile","main_blocks","mouse_backend","mx","my","n","n_angles","n_high_prob","n_low_prob","n_reps","n_trials_iti","opensesame_codename","opensesame_version","participant","pract_block","practice_block","practice_n_trials","prev_pressed","red","repeat_cycle","reps_per_block","response_mode","right","round_decimals","sampler_backend","sc","session","show_num","skip_this","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","start_x","stim_angle","stim_image","subject_nr","subject_parity","t0","t1","task_fb","test_n_trials","time_ITI","time_block_end","time_block_sequence","time_block_start","time_blocks_loop","time_bye","time_countdown","time_demographics","time_experiment","time_feedback","time_instructions","time_instructions_loop","time_language_select","time_logger","time_settings","time_setup","time_trial","time_trial_sequence","time_trials_loop","time_welcome","title","total_blocks","total_w","trial_number","use_i","value","white","width"
"-104","50","54","461","768","1024","461","23","1","white","#000000","Vas a empezar el bloque de práctica.

Este bloque es para que te familiarices con la tarea y cómo lo hagas no es importante.

Receibirás feedback durante este bloque.","1","64","60","200","-30","245","True","psycho","psycho","psycho","hljt_files/Stimuli_8angles.xlsx","hljt_correct_one","h","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0.810262820695994","The main experiment item","True","3055.4194000002462","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame","HLJT_local.osexp","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame","True","No feedback","0.3","False","mono","False","18","no","black","no","yes","30","Male","#008000","Left","Palmar and Dorsal","1 de 5 bloques","768","0.5","225","l","h","medial","hljt_images/right_palmar.png","right","palmar","3","0.5","0.6","Tras cada imagen, recibirás un feedback corto sobre tu respuesta:

Si respondes correctamente, la caja correspondiente se volverá verde

Si respondes incorrectamente, la caja correspondiente se volverá roja

Recuerda que tu objetivo es responder tan precisa y rápidamente como puedas","hljt_instr_images/instr_pic3.jpg","True","1","None","psycho","Deutsch","ES","Spanish","ES","1","h","1.5168932000000495","#000000","0","0","2","0","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame\subject-1.csv","4","psycho","2.0","242.0","4","8 (increments of 45º)","32","32","8","600","Neonatal Nightingale","4.1.9","1","1","Yes","5","1","#FF0000","0","2","Left hand","#008000","2","psycho","0.6179624664879356","1","1","1","1024","2","48000","-16","experiment","-445","225","hljt_images/right_palmar.png","1","odd","1913122.1523","1914639.0455","False","2","1912277.2937","NA","1908336.6930000002","1908336.73","1908335.5803999999","NA","1909220.8248","1901462.6422000001","1898260.4246","1914639.5487","1908335.5480999998","1906785.5151","1898260.8965999999","1914955.0927","1898260.8777","1900370.7954000002","1913097.2327999999","1912277.2622000002","1912276.354","1900386.8186999997","HLJT_local (OpenSesame version)","5","890","1","hljt_files/Instructions_left_hand.xlsx","German","#FFFFFF","1024"
"-104","50","54","461","768","1024","461","23","1","white","#000000","Vas a empezar el bloque de práctica.

Este bloque es para que te familiarices con la tarea y cómo lo hagas no es importante.

Receibirás feedback durante este bloque.","1","64","60","200","-30","245","True","psycho","psycho","psycho","hljt_files/Stimuli_8angles.xlsx","hljt_correct_one","h","1","0","0","0","0","0","0","0","0","1","2","0","0","1","0","0","1","1","0","0","0.7888160234215359","The main experiment item","True","3055.4194000002462","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame","HLJT_local.osexp","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame","True","No feedback","0.3","False","mono","False","18","no","black","no","yes","30","Male","#008000","Left","Palmar and Dorsal","1 de 5 bloques","768","0.5","45","l","h","lateral","hljt_images/right_palmar.png","right","palmar","3","0.5","0.6","Tras cada imagen, recibirás un feedback corto sobre tu respuesta:

Si respondes correctamente, la caja correspondiente se volverá verde

Si respondes incorrectamente, la caja correspondiente se volverá roja

Recuerda que tu objetivo es responder tan precisa y rápidamente como puedas","hljt_instr_images/instr_pic3.jpg","True","2","None","psycho","Deutsch","ES","Spanish","ES","1","h","0.5372829000002239","#000000","1","0","2","1","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame\subject-1.csv","4","psycho","2.0","242.0","4","8 (increments of 45º)","32","32","8","600","Neonatal Nightingale","4.1.9","1","1","Yes","5","1","#FF0000","0","2","Left hand","#008000","2","psycho","0.6179624664879356","1","1","1","1024","2","48000","-16","experiment","-445","45","hljt_images/right_palmar.png","1","odd","1915799.6039999998","1916336.8869","False","2","1914967.8683000002","NA","1908336.6930000002","1908336.73","1908335.5803999999","NA","1909220.8248","1901462.6422000001","1898260.4246","1916337.6994","1908335.5480999998","1906785.5151","1898260.8965999999","1916651.8361","1898260.8777","1900370.7954000002","1915775.4663","1914967.7557","1912276.354","1900386.8186999997","HLJT_local (OpenSesame version)","5","890","2","hljt_files/Instructions_left_hand.xlsx","German","#FFFFFF","1024"
"-104","50","54","461","768","1024","461","23","1","white","#000000","Vas a empezar el bloque de práctica.

Este bloque es para que te familiarices con la tarea y cómo lo hagas no es importante.

Receibirás feedback durante este bloque.","1","64","60","200","-30","245","True","psycho","psycho","psycho","hljt_files/Stimuli_8angles.xlsx","hljt_correct_one","g","2","0","0","0","0","0","0","0","0","2","2","0","0","2","0","0","2","2","0","0","0.6854491388018908","The main experiment item","True","3055.4194000002462","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame","HLJT_local.osexp","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame","True","No feedback","0.3","False","mono","False","18","no","black","no","yes","30","Male","#008000","Left","Palmar and Dorsal","1 de 5 bloques","768","0.5","315","s","g","lateral","hljt_images/left_palmar.png","left","palmar","3","0.5","0.6","Tras cada imagen, recibirás un feedback corto sobre tu respuesta:

Si respondes correctamente, la caja correspondiente se volverá verde

Si respondes incorrectamente, la caja correspondiente se volverá roja

Recuerda que tu objetivo es responder tan precisa y rápidamente como puedas","hljt_instr_images/instr_pic3.jpg","True","3","None","psycho","Deutsch","ES","Spanish","ES","1","g","0.22116749999974855","#008000","2","0","2","2","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame\subject-1.csv","4","psycho","2.0","242.0","4","8 (increments of 45º)","32","32","8","600","Neonatal Nightingale","4.1.9","1","1","Yes","5","1","#FF0000","0","2","Left hand","#000000","2","psycho","0.6179624664879356","1","1","1","1024","2","48000","-16","experiment","-445","315","hljt_images/left_palmar.png","1","odd","1917397.3555000003","1917618.523","False","2","1916661.7903000002","NA","1908336.6930000002","1908336.73","1908335.5803999999","NA","1909220.8248","1901462.6422000001","1898260.4246","1917618.7963000003","1908335.5480999998","1906785.5151","1898260.8965999999","1917932.7164999999","1898260.8777","1900370.7954000002","1917369.8516999998","1916661.0005000003","1912276.354","1900386.8186999997","HLJT_local (OpenSesame version)","5","890","3","hljt_files/Instructions_left_hand.xlsx","German","#FFFFFF","1024"
"-104","50","54","461","768","1024","461","23","1","white","#000000","Vas a empezar el bloque de práctica.

Este bloque es para que te familiarices con la tarea y cómo lo hagas no es importante.

Receibirás feedback durante este bloque.","1","64","60","200","-30","245","True","psycho","psycho","psycho","hljt_files/Stimuli_8angles.xlsx","hljt_correct_one","g","3","0","0","0","0","0","0","0","0","3","2","0","0","3","0","0","3","3","0","0","0.6276714398672512","The main experiment item","True","3055.4194000002462","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame","HLJT_local.osexp","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame","True","No feedback","0.3","False","mono","False","18","no","black","no","yes","30","Male","#008000","Left","Palmar and Dorsal","1 de 5 bloques","768","0.5","315","s","g","medial","hljt_images/left_dorsal.png","left","dorsal","3","0.5","0.6","Tras cada imagen, recibirás un feedback corto sobre tu respuesta:

Si respondes correctamente, la caja correspondiente se volverá verde

Si respondes incorrectamente, la caja correspondiente se volverá roja

Recuerda que tu objetivo es responder tan precisa y rápidamente como puedas","hljt_instr_images/instr_pic3.jpg","True","4","None","psycho","Deutsch","ES","Spanish","ES","0","h","0.3462356000000145","#000000","3","0","2","3","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame\subject-1.csv","4","psycho","2.0","242.0","4","8 (increments of 45º)","32","32","8","600","Neonatal Nightingale","4.1.9","1","1","Yes","5","1","#FF0000","0","2","Left hand","#FF0000","2","psycho","0.6402777777777777","1","1","1","1024","2","48000","-16","experiment","-445","315","hljt_images/left_dorsal.png","1","odd","1918607.6104","1918953.846","False","2","1917940.4242","NA","1908336.6930000002","1908336.73","1908335.5803999999","NA","1909220.8248","1901462.6422000001","1898260.4246","1918954.1506","1908335.5480999998","1906785.5151","1898260.8965999999","1919268.6827000002","1898260.8777","1900370.7954000002","1918584.3823999998","1917940.3789","1912276.354","1900386.8186999997","HLJT_local (OpenSesame version)","5","890","4","hljt_files/Instructions_left_hand.xlsx","German","#FFFFFF","1024"
"-104","50","54","461","768","1024","461","23","1","white","#000000","Vas a empezar el bloque de práctica.

Este bloque es para que te familiarices con la tarea y cómo lo hagas no es importante.

Receibirás feedback durante este bloque.","1","64","60","200","-30","245","True","psycho","psycho","psycho","hljt_files/Stimuli_8angles.xlsx","hljt_correct_one","h","4","0","0","0","0","0","0","0","0","4","2","0","0","4","0","0","4","4","0","0","0.7276956606609015","The main experiment item","True","3055.4194000002462","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame","HLJT_local.osexp","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame","True","No feedback","0.3","False","mono","False","18","no","black","no","yes","30","Male","#008000","Left","Palmar and Dorsal","1 de 5 bloques","768","0.5","0","l","h","up","hljt_images/right_palmar.png","right","palmar","3","0.5","0.6","Tras cada imagen, recibirás un feedback corto sobre tu respuesta:

Si respondes correctamente, la caja correspondiente se volverá verde

Si respondes incorrectamente, la caja correspondiente se volverá roja

Recuerda que tu objetivo es responder tan precisa y rápidamente como puedas","hljt_instr_images/instr_pic3.jpg","True","5","None","psycho","Deutsch","ES","Spanish","ES","0","g","0.2260977000000421","#FF0000","4","0","2","4","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame\subject-1.csv","4","psycho","2.0","242.0","4","8 (increments of 45º)","32","32","8","600","Neonatal Nightingale","4.1.9","1","1","Yes","5","1","#FF0000","0","2","Left hand","#000000","2","psycho","0.6179624664879356","1","1","1","1024","2","48000","-16","experiment","-445","0","hljt_images/right_palmar.png","1","odd","1920033.2097","1920259.3074","False","2","1919277.3748999997","NA","1908336.6930000002","1908336.73","1908335.5803999999","NA","1909220.8248","1901462.6422000001","1898260.4246","1920259.6668","1908335.5480999998","1906785.5151","1898260.8965999999","1920575.6775","1898260.8777","1900370.7954000002","1920015.5411","1919276.8188999998","1912276.354","1900386.8186999997","HLJT_local (OpenSesame version)","5","890","5","hljt_files/Instructions_left_hand.xlsx","German","#FFFFFF","1024"
"-104","50","54","461","768","1024","461","23","1","white","#000000","Vas a empezar un bloque principal de la tarea.

Cómo lo hagas sí es importante en este bloque.

Tienes que responder lo más RÁPIDA y PRECISAMENTE que puedas.","2","64","60","200","-30","245","True","psycho","psycho","psycho","hljt_files/Stimuli_8angles.xlsx","hljt_correct_one","h","5","1","1","1","0","0","1","0","0","5","2","0","0","5","0","0","5","5","1","0","0.7661892756039205","The main experiment item","True","3072.8207999996375","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame","HLJT_local.osexp","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame","False","No feedback","0.3","False","mono","False","18","no","black","no","yes","30","Male","#008000","Left","Palmar and Dorsal","2 de 5 bloques","768","0.5","180","l","h","down","hljt_images/right_dorsal.png","right","dorsal","3","0.5","0.6","Tras cada imagen, recibirás un feedback corto sobre tu respuesta:

Si respondes correctamente, la caja correspondiente se volverá verde

Si respondes incorrectamente, la caja correspondiente se volverá roja

Recuerda que tu objetivo es responder tan precisa y rápidamente como puedas","hljt_instr_images/instr_pic3.jpg","False","6","None","psycho","Deutsch","ES","Spanish","ES","1","h","0.26753400000021793","#000000","0","1","2","0","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame\subject-1.csv","4","psycho","2.0","242.0","4","8 (increments of 45º)","32","32","8","600","Neonatal Nightingale","4.1.9","1","1","Yes","5","1","#FF0000","0","2","Left hand","#FFFFFF","2","psycho","0.6402777777777777","1","1","1","1024","2","48000","-16","experiment","-445","180","hljt_images/right_dorsal.png","1","odd","1927041.6172999998","1927309.1513","False","2","1926248.7293","1920582.4085","1922199.7031999999","1922199.7913999998","1908335.5803999999","NA","1923174.6143999998","1901462.6422000001","1898260.4246","1927309.5339000002","1908335.5480999998","1906785.5151","1898260.8965999999","1927622.9223999998","1898260.8777","1900370.7954000002","1927023.6478000002","1926248.6865","1926247.5749000001","1900386.8186999997","HLJT_local (OpenSesame version)","5","890","1","hljt_files/Instructions_left_hand.xlsx","German","#FFFFFF","1024"
"-104","50","54","461","768","1024","461","23","1","white","#000000","Vas a empezar un bloque principal de la tarea.

Cómo lo hagas sí es importante en este bloque.

Tienes que responder lo más RÁPIDA y PRECISAMENTE que puedas.","2","64","60","200","-30","245","True","psycho","psycho","psycho","hljt_files/Stimuli_8angles.xlsx","hljt_correct_one","h","6","1","1","1","0","0","1","0","0","6","2","0","0","6","0","0","6","6","1","0","0.7167051260268482","The main experiment item","True","3072.8207999996375","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame","HLJT_local.osexp","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame","False","No feedback","0.3","False","mono","False","18","no","black","no","yes","30","Male","#008000","Left","Palmar and Dorsal","2 de 5 bloques","768","0.5","270","l","h","lateral","hljt_images/right_dorsal.png","right","dorsal","3","0.5","0.6","Tras cada imagen, recibirás un feedback corto sobre tu respuesta:

Si respondes correctamente, la caja correspondiente se volverá verde

Si respondes incorrectamente, la caja correspondiente se volverá roja

Recuerda que tu objetivo es responder tan precisa y rápidamente como puedas","hljt_instr_images/instr_pic3.jpg","False","7","None","psycho","Deutsch","ES","Spanish","ES","0","g","0.21273950000014155","#FFFFFF","1","1","2","1","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame\subject-1.csv","4","psycho","2.0","242.0","4","8 (increments of 45º)","32","32","8","600","Neonatal Nightingale","4.1.9","1","1","Yes","5","1","#FF0000","0","2","Left hand","#000000","2","psycho","0.6402777777777777","1","1","1","1024","2","48000","-16","experiment","-445","270","hljt_images/right_dorsal.png","1","odd","1928387.1704","1928599.9099","False","2","1927639.1173000003","1920582.4085","1922199.7031999999","1922199.7913999998","1908335.5803999999","NA","1923174.6143999998","1901462.6422000001","1898260.4246","1928600.4451","1908335.5480999998","1906785.5151","1898260.8965999999","1928913.5820000002","1898260.8777","1900370.7954000002","1928368.8487999998","1927639.0012","1926247.5749000001","1900386.8186999997","HLJT_local (OpenSesame version)","5","890","2","hljt_files/Instructions_left_hand.xlsx","German","#FFFFFF","1024"
"-104","50","54","461","768","1024","461","23","1","white","#000000","Vas a empezar un bloque principal de la tarea.

Cómo lo hagas sí es importante en este bloque.

Tienes que responder lo más RÁPIDA y PRECISAMENTE que puedas.","3","64","60","200","-30","245","True","psycho","psycho","psycho","hljt_files/Stimuli_8angles.xlsx","hljt_correct_one","g","7","2","2","2","0","0","2","0","0","7","2","0","0","7","0","0","7","7","2","0","0.6491434430609043","The main experiment item","True","3057.722000000067","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame","HLJT_local.osexp","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame","False","No feedback","0.3","False","mono","False","18","no","black","no","yes","30","Male","#008000","Left","Palmar and Dorsal","3 de 5 bloques","768","0.5","225","s","g","lateral","hljt_images/left_palmar.png","left","palmar","3","0.5","0.6","Tras cada imagen, recibirás un feedback corto sobre tu respuesta:

Si respondes correctamente, la caja correspondiente se volverá verde

Si respondes incorrectamente, la caja correspondiente se volverá roja

Recuerda que tu objetivo es responder tan precisa y rápidamente como puedas","hljt_instr_images/instr_pic3.jpg","False","8","None","psycho","Deutsch","ES","Spanish","ES","0","h","0.22116689999983646","#000000","0","2","2","0","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame\subject-1.csv","4","psycho","2.0","242.0","4","8 (increments of 45º)","32","32","8","600","Neonatal Nightingale","4.1.9","1","1","Yes","5","1","#FF0000","0","2","Left hand","#FFFFFF","2","psycho","0.6179624664879356","1","1","1","1024","2","48000","-16","experiment","-445","225","hljt_images/left_palmar.png","1","odd","1934924.6117000002","1935145.7786","False","2","1934247.4933","1928924.4877000002","1930327.8946","1930327.9334","1908335.5803999999","NA","1931188.6531999998","1901462.6422000001","1898260.4246","1935146.1706","1908335.5480999998","1906785.5151","1898260.8965999999","1935461.5869","1898260.8777","1900370.7954000002","1934905.0391000002","1934247.4612999998","1934246.49","1900386.8186999997","HLJT_local (OpenSesame version)","5","890","1","hljt_files/Instructions_left_hand.xlsx","German","#FFFFFF","1024"
"-104","50","54","461","768","1024","461","23","1","white","#000000","Vas a empezar un bloque principal de la tarea.

Cómo lo hagas sí es importante en este bloque.

Tienes que responder lo más RÁPIDA y PRECISAMENTE que puedas.","3","64","60","200","-30","245","True","psycho","psycho","psycho","hljt_files/Stimuli_8angles.xlsx","hljt_correct_one","g","8","2","2","2","0","0","2","0","0","8","2","0","0","8","0","0","8","8","2","0","0.9016261155568046","The main experiment item","True","3057.722000000067","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame","HLJT_local.osexp","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame","False","No feedback","0.3","False","mono","False","18","no","black","no","yes","30","Male","#008000","Left","Palmar and Dorsal","3 de 5 bloques","768","0.5","270","s","g","medial","hljt_images/left_dorsal.png","left","dorsal","3","0.5","0.6","Tras cada imagen, recibirás un feedback corto sobre tu respuesta:

Si respondes correctamente, la caja correspondiente se volverá verde

Si respondes incorrectamente, la caja correspondiente se volverá roja

Recuerda que tu objetivo es responder tan precisa y rápidamente como puedas","hljt_instr_images/instr_pic3.jpg","False","9","None","psycho","Deutsch","ES","Spanish","ES","1","g","5.359999975189567e-05","#FFFFFF","1","2","2","1","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame\subject-1.csv","4","psycho","2.0","242.0","4","8 (increments of 45º)","32","32","8","600","Neonatal Nightingale","4.1.9","1","1","Yes","5","1","#FF0000","0","2","Left hand","#000000","2","psycho","0.6402777777777777","1","1","1","1024","2","48000","-16","experiment","-445","270","hljt_images/left_dorsal.png","1","odd","1936426.8946000002","1936426.9482","False","2","1935479.2785999998","1928924.4877000002","1930327.8946","1930327.9334","1908335.5803999999","NA","1931188.6531999998","1901462.6422000001","1898260.4246","1936427.119","1908335.5480999998","1906785.5151","1898260.8965999999","1936744.9514999997","1898260.8777","1900370.7954000002","1936402.4561","1935479.1530000002","1934246.49","1900386.8186999997","HLJT_local (OpenSesame version)","5","890","2","hljt_files/Instructions_left_hand.xlsx","German","#FFFFFF","1024"
"-104","50","54","461","768","1024","461","23","1","white","#000000","Vas a empezar un bloque principal de la tarea.

Cómo lo hagas sí es importante en este bloque.

Tienes que responder lo más RÁPIDA y PRECISAMENTE que puedas.","4","64","60","200","-30","245","True","psycho","psycho","psycho","hljt_files/Stimuli_8angles.xlsx","hljt_correct_one","h","9","3","3","3","0","0","3","0","0","9","2","0","0","9","0","0","9","9","3","0","0.8067433823357821","The main experiment item","True","3071.6404999999795","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame","HLJT_local.osexp","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame","False","No feedback","0.3","False","mono","False","18","no","black","no","yes","30","Male","#008000","Left","Palmar and Dorsal","4 de 5 bloques","768","0.5","315","l","h","lateral","hljt_images/right_dorsal.png","right","dorsal","3","0.5","0.6","Tras cada imagen, recibirás un feedback corto sobre tu respuesta:

Si respondes correctamente, la caja correspondiente se volverá verde

Si respondes incorrectamente, la caja correspondiente se volverá roja

Recuerda que tu objetivo es responder tan precisa y rápidamente como puedas","hljt_instr_images/instr_pic3.jpg","False","10","None","psycho","Deutsch","ES","Spanish","ES","1","h","0.40500309999985623","#000000","0","3","2","0","C:\Users\morenoverdu\OneDrive - UCL\BAS-Lab\Github repositories\HLJT\HLJT_local_OpenSesame\subject-1.csv","4","psycho","2.0","242.0","4","8 (increments of 45º)","32","32","8","600","Neonatal Nightingale","4.1.9","1","1","Yes","5","1","#FF0000","0","2","Left hand","#FFFFFF","2","psycho","0.6402777777777777","1","1","1","1024","2","48000","-16","experiment","-445","315","hljt_images/right_dorsal.png","1","odd","1942291.3078","1942696.3109","False","2","1941460.0215","1936754.8230000003","1937844.5076","1937844.5505","1908335.5803999999","NA","1938387.2011","1901462.6422000001","1898260.4246","1942696.6817000003","1908335.5480999998","1906785.5151","1898260.8965999999","1943010.3583999998","1898260.8777","1900370.7954000002","1942275.9139999999","1941459.9812","1941458.9593999998","1900386.8186999997","HLJT_local (OpenSesame version)","5","890","1","hljt_files/Instructions_left_hand.xlsx","German","#FFFFFF","1024"
