hljt_images,hljt_side,hljt_view,hljt_angle,hljt_direction,hljt_correct_both,hljt_correct_one
hljt_images/right_palmar.png,right,palmar,0,up,l,h
hljt_images/right_palmar.png,right,palmar,45,lateral,l,h
hljt_images/right_palmar.png,right,palmar,90,lateral,l,h
hljt_images/right_palmar.png,right,palmar,135,lateral,l,h
hljt_images/right_palmar.png,right,palmar,180,down,l,h
hljt_images/right_palmar.png,right,palmar,225,medial,l,h
hljt_images/right_palmar.png,right,palmar,270,medial,l,h
hljt_images/right_palmar.png,right,palmar,315,medial,l,h
hljt_images/right_dorsal.png,right,dorsal,0,up,l,h
hljt_images/right_dorsal.png,right,dorsal,45,medial,l,h
hljt_images/right_dorsal.png,right,dorsal,90,medial,l,h
hljt_images/right_dorsal.png,right,dorsal,135,medial,l,h
hljt_images/right_dorsal.png,right,dorsal,180,down,l,h
hljt_images/right_dorsal.png,right,dorsal,225,lateral,l,h
hljt_images/right_dorsal.png,right,dorsal,270,lateral,l,h
hljt_images/right_dorsal.png,right,dorsal,315,lateral,l,h
hljt_images/left_palmar.png,left,palmar,0,up,s,g
hljt_images/left_palmar.png,left,palmar,45,medial,s,g
hljt_images/left_palmar.png,left,palmar,90,medial,s,g
hljt_images/left_palmar.png,left,palmar,135,medial,s,g
hljt_images/left_palmar.png,left,palmar,180,down,s,g
hljt_images/left_palmar.png,left,palmar,225,lateral,s,g
hljt_images/left_palmar.png,left,palmar,270,lateral,s,g
hljt_images/left_palmar.png,left,palmar,315,lateral,s,g
hljt_images/left_dorsal.png,left,dorsal,0,up,s,g
hljt_images/left_dorsal.png,left,dorsal,45,lateral,s,g
hljt_images/left_dorsal.png,left,dorsal,90,lateral,s,g
hljt_images/left_dorsal.png,left,dorsal,135,lateral,s,g
hljt_images/left_dorsal.png,left,dorsal,180,down,s,g
hljt_images/left_dorsal.png,left,dorsal,225,medial,s,g
hljt_images/left_dorsal.png,left,dorsal,270,medial,s,g
hljt_images/left_dorsal.png,left,dorsal,315,medial,s,g
