hljt_images,hljt_side,hljt_view,hljt_angle,hljt_direction,hljt_correct_both,hljt_correct_one
hljt_images/right_palmar.png,right,palmar,0,up,l,h
hljt_images/right_palmar.png,right,palmar,30,lateral,l,h
hljt_images/right_palmar.png,right,palmar,60,lateral,l,h
hljt_images/right_palmar.png,right,palmar,90,lateral,l,h
hljt_images/right_palmar.png,right,palmar,120,lateral,l,h
hljt_images/right_palmar.png,right,palmar,150,lateral,l,h
hljt_images/right_palmar.png,right,palmar,180,down,l,h
hljt_images/right_palmar.png,right,palmar,210,medial,l,h
hljt_images/right_palmar.png,right,palmar,240,medial,l,h
hljt_images/right_palmar.png,right,palmar,270,medial,l,h
hljt_images/right_palmar.png,right,palmar,300,medial,l,h
hljt_images/right_palmar.png,right,palmar,330,medial,l,h
hljt_images/right_palmar.png,right,dorsal,0,up,l,h
hljt_images/right_palmar.png,right,dorsal,30,lateral,l,h
hljt_images/right_palmar.png,right,dorsal,60,lateral,l,h
hljt_images/right_palmar.png,right,dorsal,90,lateral,l,h
hljt_images/right_palmar.png,right,dorsal,120,lateral,l,h
hljt_images/right_palmar.png,right,dorsal,150,lateral,l,h
hljt_images/right_palmar.png,right,dorsal,180,down,l,h
hljt_images/right_palmar.png,right,dorsal,210,medial,l,h
hljt_images/right_palmar.png,right,dorsal,240,medial,l,h
hljt_images/right_palmar.png,right,dorsal,270,medial,l,h
hljt_images/right_palmar.png,right,dorsal,300,medial,l,h
hljt_images/right_palmar.png,right,dorsal,330,medial,l,h
hljt_images/left_palmar.png,left,palmar,0,up,s,g
hljt_images/left_palmar.png,left,palmar,30,medial,s,g
hljt_images/left_palmar.png,left,palmar,60,medial,s,g
hljt_images/left_palmar.png,left,palmar,90,medial,s,g
hljt_images/left_palmar.png,left,palmar,120,medial,s,g
hljt_images/left_palmar.png,left,palmar,150,medial,s,g
hljt_images/left_palmar.png,left,palmar,180,down,s,g
hljt_images/left_palmar.png,left,palmar,210,lateral,s,g
hljt_images/left_palmar.png,left,palmar,240,lateral,s,g
hljt_images/left_palmar.png,left,palmar,270,lateral,s,g
hljt_images/left_palmar.png,left,palmar,300,lateral,s,g
hljt_images/left_palmar.png,left,palmar,330,lateral,s,g
hljt_images/left_palmar.png,left,dorsal,0,up,s,g
hljt_images/left_palmar.png,left,dorsal,30,medial,s,g
hljt_images/left_palmar.png,left,dorsal,60,medial,s,g
hljt_images/left_palmar.png,left,dorsal,90,medial,s,g
hljt_images/left_palmar.png,left,dorsal,120,medial,s,g
hljt_images/left_palmar.png,left,dorsal,150,medial,s,g
hljt_images/left_palmar.png,left,dorsal,180,down,s,g
hljt_images/left_palmar.png,left,dorsal,210,lateral,s,g
hljt_images/left_palmar.png,left,dorsal,240,lateral,s,g
hljt_images/left_palmar.png,left,dorsal,270,lateral,s,g
hljt_images/left_palmar.png,left,dorsal,300,lateral,s,g
hljt_images/left_palmar.png,left,dorsal,330,lateral,s,g
